,Open,High,Low,Close,Volume,Date
2025-07-24,424.82266089963156,427.92645586299744,422.2958410064833,427.2897644042969,2511400,2025-07-24
2025-07-25,427.45888624874937,432.6119824050139,426.39443481518146,431.497802734375,2218400,2025-07-25
2025-07-28,429.01078928265855,434.13404249154354,428.8814594336476,430.6920166015625,2550300,2025-07-28
2025-07-29,432.293620177751,432.9501968212643,422.5942463079233,427.8169860839844,2383700,2025-07-29
2025-07-30,427.7672727441442,434.56179536948645,424.2158022865682,431.8658752441406,3172600,2025-07-30
2025-07-31,431.87585001401453,438.85938878873475,431.42817442780216,435.7456359863281,4116400,2025-07-31
2025-08-01,424.7530104907289,428.6227963436456,419.10251049844425,426.4640808105469,4027300,2025-08-01
2025-08-04,428.6227788421314,434.621497687227,427.7573011060086,431.44805908203125,4059500,2025-08-04
2025-08-05,425.4294903828786,437.45671136772137,424.3551114664357,431.975341796875,4329900,2025-08-05
2025-08-06,431.08992893811615,432.452810515411,423.330441672216,425.4991149902344,2630800,2025-08-06
2025-08-07,424.6236941813721,425.1111402155259,407.83133617220034,414.95416259765625,4261100,2025-08-07
2025-08-08,418.3364690557006,419.70930836188785,413.60120565935915,414.35723876953125,2965200,2025-08-08
2025-08-11,414.81487965716184,416.11807517086015,404.68771532170183,406.418701171875,3416000,2025-08-11
2025-08-12,408.8659345780191,416.01860384279723,407.51301077807017,410.5670471191406,2765100,2025-08-12
2025-08-13,413.02420619757936,413.38235271521864,408.40831478608226,411.5519104003906,4403000,2025-08-13
2025-08-14,407.1747491613789,417.0631393921411,404.88670376532093,415.3321838378906,3676000,2025-08-14
2025-08-15,413.56142455375965,414.3970593105621,404.9861877360874,405.672607421875,3107400,2025-08-15
2025-08-18,404.88667679679037,410.994809785708,403.3546646543037,410.4974060058594,3185200,2025-08-18
2025-08-19,417.13278618733136,419.68944909047,411.91004611379554,413.92950439453125,3543600,2025-08-19
2025-08-20,412.6461833826129,419.7292390485615,409.91046246241706,418.4061279296875,4060200,2025-08-20
2025-08-21,417.7495700779758,418.39618898004437,412.00954085439736,415.7201843261719,2504300,2025-08-21
2025-08-22,419.4208142417862,435.5665523873442,417.8689168271768,433.4078369140625,3785100,2025-08-22
